coin_id,year,week,date,price,market_cap,volume,ret
0x,2018,2,2018-01-08,1.714397681325121,845049159.7402638,60150997.51548712,0.44400321992648806
0x,2018,3,2018-01-15,1.4218222316392812,708414127.2564803,25114779.741391737,-0.17065786595073873
0x,2018,4,2018-01-22,1.593003788555786,799141831.3073142,25931121.64683526,0.12039589275456897
0x,2018,5,2018-01-29,1.1048034809768104,557839108.1562762,16326050.202629132,-0.30646525205164576
0x,2018,6,2018-02-05,0.8964493544851405,454740161.69235307,9372798.01065383,-0.18858931029747827
0x,2018,7,2018-02-12,1.0362913694094955,528926974.0956662,16276332.39722753,0.15599544383036634
0x,2018,8,2018-02-19,0.7436043160459032,381723590.7871682,5956987.1202050345,-0.2824370268859545
0x,2018,9,2018-02-26,0.7438647044590644,383986166.49864525,7431391.5255352715,0.00035017065869902275
0x,2018,10,2018-03-05,0.5245654899430062,271101527.53940153,4753431.898796106,-0.2948106197289354
0x,2018,11,2018-03-12,0.3692103466150642,191296850.9158461,3604283.687862873,-0.29615967177867786
0x,2018,12,2018-03-19,0.48473950447696706,251956300.96615216,5186039.648564383,0.3129087765851608
0x,2018,13,2018-03-26,0.4456937562242284,232376673.92899403,13634795.45052746,-0.08054996114845014
0x,2018,14,2018-04-02,0.43806297552823836,228849576.3934607,8035001.036613854,-0.01712112990012582
0x,2018,15,2018-04-09,0.5913909669439367,309145114.4740832,7661224.879429802,0.3500135824781989
0x,2018,16,2018-04-16,0.7488014234472034,392939815.17063564,11020055.55320674,0.26616986951406885
0x,2018,17,2018-04-23,0.9794725965224697,514396230.0583689,13809221.892015126,0.30805386562079695
0x,2018,18,2018-04-30,1.3683065383512791,720628642.111803,21913333.652204223,0.38583242700227044
0x,2018,19,2018-05-07,1.3783972398470765,728480369.1699303,46352374.85893331,0.007374591301709366
0x,2018,20,2018-05-14,1.228647808046368,702865325.0295001,20046444.363499034,-0.1086402580270126
0x,2018,21,2018-05-21,1.0380685485484247,593841768.975715,32704243.741795104,-0.15511300980626586
0x,2018,22,2018-05-28,1.0929909201766712,625260887.0769876,22598674.23444202,0.05290823202865247
0x,2018,23,2018-06-04,1.03780670558386,593691978.0110544,12287695.843420757,-0.050489179346422386
0x,2018,24,2018-06-11,0.7518486790595327,430105651.69236493,11804071.22449539,-0.27554073893119635
0x,2018,25,2018-06-18,0.6215975121632619,355593632.7423713,7617188.771527052,-0.17324119935835824
0x,2018,26,2018-06-25,0.6804761821608066,389276007.18206686,8727851.3759604,0.09472153418477713
0x,2018,27,2018-07-02,0.8426934655051789,482222059.97760725,18996068.274676826,0.23838789306227026
0x,2018,28,2018-07-09,0.8453535775551406,485271503.5081492,14564001.262056844,0.0031566781503011843
0x,2018,29,2018-07-16,0.9763945514026575,560494998.2546521,26998070.619473908,0.15501321260921652
0x,2018,30,2018-07-23,1.0618988638374072,610185950.687868,17364822.770037405,0.08757147641997465
0x,2018,31,2018-07-30,0.8105124261214796,465734837.9581566,11788751.886328923,-0.2367329378312798
0x,2018,32,2018-08-06,0.743043761868392,426966144.9678095,11507647.233592305,-0.08324198627767287
0x,2018,33,2018-08-13,0.6534094711337012,375438237.58046305,12956209.191364447,-0.12063124049289431
0x,2018,34,2018-08-20,0.5933426632913168,340954330.9515216,8881406.94343734,-0.09192827850836804
0x,2018,35,2018-08-27,0.6936499218560248,398612671.73175526,10832098.504603548,0.1690545190333963
0x,2018,36,2018-09-03,0.49566402698986195,293318348.62573135,14837486.588330166,-0.28542624835364305
0x,2018,37,2018-09-10,0.49838598529805556,287411679.50305796,31388951.31876221,0.005491538945692431
0x,2018,38,2018-09-17,0.5275474225805062,304212415.9352524,22680367.87590116,0.05851175222154548
0x,2018,39,2018-09-24,0.558256481186307,321224944.1357813,9500568.723129667,0.05821099164049914
0x,2018,40,2018-10-01,0.5578717264514451,321671470.040686,5816693.594530736,-0.0006892078244111755
0x,2018,41,2018-10-08,0.6388647491987952,368636801.4461617,28037995.319294237,0.14518216089303704
0x,2018,42,2018-10-15,0.7879271993356692,454296515.78221834,42967333.43848056,0.23332395522497418
0x,2018,43,2018-10-22,0.6915062283062261,399893712.7978021,21323125.887243677,-0.12237294398611853
0x,2018,44,2018-10-29,0.7101333109435287,411005192.39080364,20960402.12329275,0.026936970159947338
0x,2018,45,2018-11-05,0.6358254478213238,367027294.37753063,23386622.719543464,-0.10463931486818268
0x,2018,46,2018-11-12,0.4796135735656228,277853599.8439874,21551063.982053045,-0.2456835831138341
0x,2018,47,2018-11-19,0.31801532857804476,184084938.30181164,18164020.491545726,-0.3369342610264291
0x,2018,48,2018-11-26,0.36481280859043896,213948251.42368063,16906266.767748367,0.1471547935177897
0x,2018,49,2018-12-03,0.2795307416088959,163053569.1144398,12048545.405561874,-0.23376938795283886
0x,2018,50,2018-12-10,0.2367264776199221,138239201.88609818,10614198.771124488,-0.15312900378185657
0x,2018,51,2018-12-17,0.29242540354656377,170352176.2358374,12513359.593649348,0.23528811177628173
0x,2018,52,2018-12-24,0.2771577481563823,161635205.03564334,13279474.860637901,-0.05221042770229223
0x,2019,1,2019-01-07,0.2937078074849174,171302102.3615572,8009849.082682314,0.05971350048347568
0x,2019,2,2019-01-14,0.23185078946873708,135163497.32727104,8076579.784581187,-0.21060733300171752
0x,2019,3,2019-01-21,0.24821150337524378,144945226.30119702,8304720.355188857,0.07056570281255303
0x,2019,4,2019-01-28,0.24152657099603855,140944382.9716755,15421286.302272167,-0.02693240356833504
0x,2019,5,2019-02-04,0.21306858157588096,124449980.48489249,12971008.146214738,-0.11782550177729456
