coin_id,year,week,date,price,market_cap,volume,ret
index-cooperative,2020,42,2020-10-19,2.3897981222971025,396772.1839220093,47083.541194590005,-0.0016491020096536246
index-cooperative,2020,43,2020-10-26,2.4862637924510365,593659.6531848486,144251.01381201256,0.04036561467426791
index-cooperative,2020,44,2020-11-02,2.1128581914911195,658664.056693182,126282.93580219049,-0.1501874427378448
index-cooperative,2020,45,2020-11-09,2.2186814292686403,964474.0282402375,199886.59451728358,0.05008534799149844
index-cooperative,2020,46,2020-11-16,10.832531937593947,5744813.066772878,354130.81857808697,3.8824188072664185
index-cooperative,2020,47,2020-11-23,6.063909953529624,3716058.5737157892,757477.275227095,-0.44021305559367674
index-cooperative,2020,48,2020-11-30,4.123547114859606,2996428.0824646982,274930.3446851065,-0.31998543077648933
index-cooperative,2020,49,2020-12-07,3.4563879958987553,3545413.6781773223,236538.72983659434,-0.16179252967831437
index-cooperative,2020,50,2020-12-14,5.023068995432369,5625877.313475513,222776.11255527075,0.4532711609323343
index-cooperative,2020,51,2020-12-21,3.38180962421095,3801457.682692702,216750.1615850598,-0.3267443414999608
index-cooperative,2020,52,2020-12-28,3.9238347865756613,4406318.498035454,199255.6364233721,0.16027666326462042
index-cooperative,2021,1,2021-01-04,4.649489198875663,5393150.13680713,217678.49650572665,0.18493500663754525
index-cooperative,2021,2,2021-01-11,4.970327116159698,6138265.965837138,301567.68196331226,0.06900498174328917
index-cooperative,2021,3,2021-01-18,6.385845610371062,7863414.674519199,342853.47530453413,0.2847938296876238
index-cooperative,2021,4,2021-01-25,12.080334890607704,15331794.540214667,595939.2911763615,0.8917361345204449
index-cooperative,2021,5,2021-02-01,27.601156160128014,35332290.444439,1245003.527756017,1.284800579625283
index-cooperative,2021,6,2021-02-08,19.375832308450914,25690889.816281978,1097293.1084867471,-0.29800649668288937
index-cooperative,2021,7,2021-02-15,25.06930328755105,33150431.9571901,1354229.7219067663,0.2938439437575482
index-cooperative,2021,8,2021-02-22,19.090069749202033,24976307.84484727,867634.0192868002,-0.2385081655347875
index-cooperative,2021,9,2021-03-01,15.29066697850841,20207559.56477968,599098.4152555028,-0.19902508584875334
index-cooperative,2021,10,2021-03-08,14.764288147262661,19846613.091685582,579830.786933842,-0.034424844382890174
index-cooperative,2021,11,2021-03-15,19.57857411681257,26142560.165561207,709133.5774152989,0.326076402839814
index-cooperative,2021,12,2021-03-22,23.818853970063834,31327672.762984045,1036794.1935328476,0.21657756218365454
index-cooperative,2021,13,2021-03-29,40.355865670345416,54370031.52187464,1229791.984964535,0.6942824252193551
index-cooperative,2021,14,2021-04-05,34.534542517100824,46725092.709915936,907719.7404974172,-0.1442497405655272
index-cooperative,2021,15,2021-04-12,31.772404100380406,48052247.72702003,585859.6257939634,-0.07998190262264693
index-cooperative,2021,16,2021-04-19,28.99989865069703,43298388.24242558,607680.703240819,-0.0872614310495371
index-cooperative,2021,17,2021-04-26,35.297746970568966,50059391.78167268,663663.41598651,0.21716794240315607
index-cooperative,2021,18,2021-05-03,46.12780304872098,65803446.37563712,991069.2989180845,0.3068200383209172
index-cooperative,2021,19,2021-05-10,47.68844338270268,70244805.86885904,1130244.8784709934,0.03383296473784636
index-cooperative,2021,20,2021-05-17,27.101478240320294,39969703.00982657,754233.7810576792,-0.43169715096738914
index-cooperative,2021,21,2021-05-24,27.947770396119804,48466272.07127657,765571.2248831888,0.031226789487092788
index-cooperative,2021,22,2021-05-31,26.889597432459883,47018007.519982725,296880.93916082574,-0.03786251814230002
index-cooperative,2021,23,2021-06-07,25.249685624944952,43734183.95182452,303956.98802834,-0.06098684859949988
index-cooperative,2021,24,2021-06-14,19.507763664435227,37259940.7819456,446595.8254506678,-0.2274056812349814
index-cooperative,2021,25,2021-06-21,15.305886761779893,30461751.674565088,305088.8397306003,-0.21539511011791745
index-cooperative,2021,26,2021-06-28,17.861789830944296,34084101.557378426,331697.5555281005,0.1669882385087751
index-cooperative,2021,27,2021-07-05,25.771931613809,49565476.514436,356250.1683832326,0.44285269604734334
index-cooperative,2021,28,2021-07-12,22.860765021996148,43927907.45006858,149235.51561411674,-0.11295880477398923
index-cooperative,2021,29,2021-07-19,16.980275613548862,32592675.038545594,145272.14392638017,-0.25723064835272147
index-cooperative,2021,30,2021-07-26,20.218828864542196,38859607.06144373,165476.34586314455,0.19072442195280015
index-cooperative,2021,31,2021-08-02,25.158579106121184,49434381.743851736,255818.33535190605,0.24431436037533505
index-cooperative,2021,32,2021-08-09,32.499892317795975,65356901.314209364,276148.65324056294,0.29180158309849147
index-cooperative,2021,33,2021-08-16,26.654634638100415,52791626.52710863,141603.77261559843,-0.17985467836442248
index-cooperative,2021,34,2021-08-23,30.67893147998408,61102983.5058572,170365.33323824007,0.15097925357158304
index-cooperative,2021,35,2021-08-30,40.27117483852593,84188324.45142338,278228.9830999365,0.31266549699751245
index-cooperative,2021,36,2021-09-06,42.005640666480765,87855384.53743581,378612.3370880766,0.0430696604931311
index-cooperative,2021,37,2021-09-13,33.04907709620648,72056202.30929403,182352.4741361258,-0.21322287740801804
index-cooperative,2021,38,2021-09-20,31.59867970442816,68890594.34824117,140216.8984825924,-0.043886169273537834
index-cooperative,2021,39,2021-09-27,29.080456333772407,63435549.79326258,62143.15417474216,-0.07969394272833674
index-cooperative,2021,40,2021-10-04,28.87089766400393,63433889.33990535,85260.01138045864,-0.00720616854712508
index-cooperative,2021,41,2021-10-11,31.353787409858935,68533318.17391253,139337.87880949915,0.08599974184213388
